customer_first_name,customer_last_name,order_id,loyalty_level_name,loyalty_level,payment_method,payment_date,store_street_address,store_state,store_zipcode,store_phone,shipment_status,delivery_date,shipment_date,shipment_zipcode,payment_total,invoice_date,representative_phone,representative_email,representative_first_name,representative_last_name,supplier_name,supplier_start_date,supplier_location_state,supplier_location_street,department_name,product_type,product_quantity,unit_price,quantity_in_order,time_of_day,promotion_name,promotion_response,birth_year,Education,marital_status,Income,numberof_children,enrollment_date,Complain,Response,deals
Muhammed,Macintyre,1,Bronze,3,credit card,6/26/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,6/30/2022,6/29/2022,10003,362,7/1/2022,829-171-9108,Mary.Olson@gmail.com,Mary,Olson,Devon Point Farm,1/27/2015,VA,221 Ligontown Road,Produce,Fish,69000,10.99,38,Drink,Campaign 5,1,1957,Graduation,Single,58138,0,4/9/2012,0,1,3
Barry,French,2,Bronze,3,venmo,3/20/2022,3720 Vision Dr,TX,76109,682-316-8040,Delivered,3/24/2022,3/23/2022,76110,335,3/25/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,Hemingway Farms,7/28/2014,WI,W7402 Fox Trail Rd.,Produce,Meats,69752,5.67,47,Lunch,Campaign 5,0,1954,Graduation,Single,46344,2,8/3/2014,0,0,2
Clay,Rozendal,3,Bronze,3,venmo,6/4/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,6/8/2022,6/7/2022,90020,283,6/9/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,Enviro Worm Gardening,9/16/2014,MA,33 Bartlett Farm Road,Non Perishables,Sweet,68059,3.89,22,Breakfast,Campaign 3,0,1965,Graduation,Together,71613,0,21-08-2013,0,0,1
Carlos,Soltero,4,Bronze,3,cash,1/4/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,1/8/2022,1/7/2022,60625,412,1/9/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,RB Pop Up Farm Stand,7/17/2016,NY,3275 Cold Springs Road,Produce,Meats,69752,5.67,50,Lunch,Campaign 5,0,1984,Graduation,Together,26646,1,10/2/2014,0,0,2
Carl,Jackson,5,Bronze,3,cash,7/1/2022,7930 SW 104th St,FL,33156,305-969-5800,Out For Delivery,NULL,7/4/2022,33170,264,7/6/2022,405-437-1466,Brynne.Giles@gmail.com,Brynne,Giles,Fruit Ridge Hayrides LLC,4/4/2015,WA,1146 NE Madison Rd,Produce,Meats,69752,5.67,19,Drink,Campaign 2,0,1981,PhD,Married,58293,1,19-01-2014,0,0,5
Monica,Federle,6,Bronze,3,credit card,7/13/2022,3720 Vision Dr,TX,76109,682-316-8040,Pending,NULL,7/16/2022,76110,389,7/18/2022,440-604-6440,Johnny.Smith@yahoo.com,Johnny,Smith,Family Foods Superstore,8/23/2014,IN,9240 n co rd 30 w,Produce,Meats,69752,5.67,28,Dinner,Campaign 3,1,1967,Master,Together,62513,1,9/9/2013,0,0,2
Dorothy,Badders,7,Bronze,3,venmo,5/14/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,5/18/2022,5/17/2022,60625,246,5/19/2022,506-956-0578,Mary.Frank@inbox.com,Mary,Frank,Food Pride Market,7/27/2014,WI,8079 Maurer Road,Beverage,Wine,68942,15.69,30,Snack,Campaign 3,1,1971,Graduation,Divorced,55635,1,13-11-2012,0,0,4
Neola,Schneider,8,Bronze,3,credit card,3/24/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,3/28/2022,3/27/2022,60625,245,3/29/2022,506-956-0578,Mary.Frank@inbox.com,Mary,Frank,Beach View Farms,8/4/2014,WI,1670 Mar-El Road,Produce,Fruits,68931,8.99,19,Dinner,Campaign 3,0,1985,PhD,Married,33454,1,8/5/2013,0,0,2
Carlos,Daly,9,Bronze,3,venmo,6/9/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,6/13/2022,6/12/2022,60625,380,6/14/2022,640-589-4719,Erica.Stevens@yahoo.com,Erica,Stevens,A. H. Herb'n Craft Farm,7/26/2014,VA,37938 Charles Town Pike,Produce,Fruits,68931,8.99,42,Snack,Campaign 2,1,1974,PhD,Together,30351,1,6/6/2013,0,0,2
Claudia,Miner,10,Bronze,3,credit card,5/2/2022,7930 SW 104th St,FL,33156,305-969-5800,Delivered,5/6/2022,5/5/2022,33170,334,5/7/2022,478-573-2416,Orli.Hendricks@outlook.com,Orli,Hendricks,Cypress Cattle and Produce,4/21/2015,KS,1692 18th Road,Produce,Fruits,68931,8.99,33,Lunch,Campaign 2,1,1950,PhD,Together,5648,2,13-03-2014,0,0,1
Allen,Rosenblatt,11,Bronze,3,venmo,1/7/2022,7930 SW 104th St,FL,33156,305-969-5800,Delivered,1/11/2022,1/10/2022,33170,89,1/12/2022,280-292-5980,Amy.Lindsay@outlook.com,Amy,Lindsay,"Owen Farm Tours, LLC",9/11/2014,IN,10262 S 800 E,Beverage,Wine,68942,15.69,15,Snack,Campaign 4,0,1983,Graduation,Married,,1,15-11-2013,0,0,1
Sylvia,Foulston,12,Bronze,3,credit card,2/14/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,2/18/2022,2/17/2022,60625,217,2/19/2022,542-843-5089,Cally.Holloway@gmail.com,Cally,Holloway,Cow-U-Met Farm,9/6/2014,CA,10600 Highland Springs Ave.,Produce,Meats,69752,5.67,39,Snack,Campaign 1,0,1976,Basic,Married,7500,0,13-11-2012,0,0,1
Jim,Radford,13,Bronze,3,venmo,3/8/2022,7930 SW 104th St,FL,33156,305-969-5800,Delivered,3/12/2022,3/11/2022,33170,28,3/13/2022,706-608-2739,Gregory.Rodriguez@gmail.com,Gregory,Rodriguez,McGolrick Park's Down to Earth Farmers Market,7/26/2014,VA,16923 Genito Rd.,Non Perishables,Sweet,68059,3.89,42,Snack,Campaign 5,0,1959,Graduation,Divorced,63033,0,15-11-2013,0,0,1
Carl,Ludwig,14,Bronze,3,credit card,4/8/2022,7930 SW 104th St,FL,33156,305-969-5800,Delivered,4/12/2022,4/11/2022,33170,212,4/13/2022,697-948-0097,Constance.Terrell@gmail.com,Constance,Terrell,The Lucky Dog Farm Store and Cafe,8/27/2014,GA,596 Crump Creek Rd,Produce,Fish,69000,10.99,49,Snack,Campaign 5,1,1952,Master,Divorced,59354,2,15-11-2013,0,0,5
Don,Miller,15,Bronze,3,credit card,6/29/2022,4 Union Square S,NY,10003,212-673-5388,Pending,NULL,7/2/2022,10003,215,7/4/2022,585-743-3074,Cassandra.Jensen@gmail.com,Cassandra,Jensen,Oasis Garden Center,3/19/2015,MD,13433 Ocean Gateway (US Route 50),Produce,Fruits,68931,8.99,44,Snack,Campaign 1,0,1987,Graduation,Married,17323,0,10/10/2012,0,0,1
Annie,Cyprus,16,Silver,2,venmo,4/11/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,4/15/2022,4/14/2022,60625,261,4/16/2022,697-948-0097,Constance.Terrell@gmail.com,Constance,Terrell,The Lucky Dog Farm Store and Cafe,8/27/2014,GA,596 Crump Creek Rd,Non Perishables,Sweet,68059,3.89,31,Drink,Campaign 2,1,1946,PhD,Single,82800,0,24-11-2012,0,1,1
Grant,Carroll,17,Bronze,3,credit card,1/12/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,1/16/2022,1/15/2022,10003,174,1/17/2022,255-592-5290,Gillian.Maldonado@outlook.com,Gillian,Maldonado,Adams Farms,7/27/2014,VA,1876 Brooksfield Rd,Beverage,Wine,68942,15.69,43,Dinner,Campaign 4,1,1980,Graduation,Married,41850,2,24-12-2012,0,0,3
Alan,Barnes,18,Silver,2,credit card,3/15/2022,3720 Vision Dr,TX,76109,682-316-8040,Delivered,3/19/2022,3/18/2022,76110,407,3/20/2022,280-292-5980,Amy.Lindsay@outlook.com,Amy,Lindsay,"Owen Farm Tours, LLC",9/11/2014,IN,10262 S 800 E,Beverage,Wine,68942,15.69,20,Snack,Campaign 2,1,1946,Graduation,Together,37760,0,31-08-2012,0,0,2
Jack,Garza,19,Bronze,3,venmo,3/2/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,3/6/2022,3/5/2022,90020,131,3/7/2022,405-437-1466,Brynne.Giles@gmail.com,Brynne,Giles,Fruit Ridge Hayrides LLC,4/4/2015,WA,1146 NE Madison Rd,Produce,Fruits,68931,8.99,31,Lunch,Campaign 1,0,1949,Master,Married,76995,1,28-03-2013,0,0,2
Julia,West,20,Bronze,3,credit card,7/18/2022,3720 Vision Dr,TX,76109,682-316-8040,Out For Delivery,NULL,7/21/2022,76110,171,7/23/2022,289-479-3701,Austin.Sexton@yahoo.com,Austin,Sexton,J&W Farm,5/4/2015,MA,1150 West Street,Produce,Fish,69000,10.99,34,Snack,Campaign 5,1,1985,2n Cycle,Single,33812,1,3/11/2012,0,0,2
Eugene,Barchas,21,Bronze,3,venmo,6/12/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,6/16/2022,6/15/2022,90020,298,6/17/2022,375-695-8959,Dominique.Rogers@mail.com,Dominique,Rogers,JZJ Natural Beef,4/7/2015,WA,220 Pocket Lane,Beverage,Wine,68942,15.69,23,Lunch,Campaign 4,1,1982,Graduation,Married,37040,0,8/8/2012,0,0,1
Edward,Hooks,22,Bronze,3,credit card,4/27/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,5/1/2022,4/30/2022,90020,437,5/2/2022,506-956-0578,Mary.Frank@inbox.com,Mary,Frank,Beach View Farms,8/4/2014,WI,1670 Mar-El Road,Produce,Fruits,68931,8.99,37,Drink,Campaign 1,1,1979,Graduation,Married,2447,1,6/1/2013,0,0,15
Brad,Eason,23,Bronze,3,credit card,4/11/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,4/15/2022,4/14/2022,60625,251,4/16/2022,440-604-6440,Johnny.Smith@yahoo.com,Johnny,Smith,Family Foods Superstore,8/23/2014,IN,9240 n co rd 30 w,Non Perishables,Sweet,68059,3.89,25,Breakfast,Campaign 1,0,1949,PhD,Married,58607,1,23-12-2012,0,0,3
